ID,PaperID,Authors
296,1732505, 'Yveline Lebreton'
297,1732505, 'F. Perez Hernandez'
298,1732506,'M. Brüggen'
299,1732507,'Stefano Andreon\nNational Institute of Astrophysics'
300,1732507, 'Giorgio Gargiulo'
301,1732507, 'Giuseppe Longo\nUniversity of Naples Federico II'
302,1732507, 'Roberto Tagliaferri\nUniversità degli Studi di Salerno'
303,1732508,'T.R. Marsh'
304,1732509,'Agata Różańska\nCentrum Astronomiczne im. M. Kopernika PAN'
305,1732509, 'B. Czerny\nCentrum Astronomiczne im. M. Kopernika PAN'
306,1732510,'F. Piron'
307,1732511,'Motoi Endo'
308,1732511, 'Fuminobu Takahashi'
309,1732511, 'T.T. Yanagida'
310,1732512,'Louise M. Griffiths'
311,1732512, 'Martin Kunz'
312,1732512, 'Joseph Silk\nUniversity of Oxford'
313,1732513,'R. Vio'
314,1732513, 'Linky Tenorio\nUniversity of Eastern Philippines'
315,1732513, 'W. Wamsteker'
316,1732514,'Edward F. Brown'
317,1732514, 'Lars Bildsten'
318,1732514, 'Philip Chang'
319,1732515,'Michael R. Corbin'
320,1732515," ""Earl O'Neil"""
321,1732515, 'Marcia Rieke\nThe University of Arizona'
322,1732516,'Javier Licandro\nInstituto de Astrofísica de Canarias'
323,1732516, 'F. Ghinassi'
324,1732516, 'L. Testi'
325,1732517,'Walter F. Brisken'
326,1732517, 'John M. Benson'
327,1732517, 'W. M. Goss'
328,1732517, 'Stephen E. Thorsett\nWillamette University'
329,1732518,'Marianne Vestergaard\nUniversity of Copenhagen'
330,1732519,'R. Maiolino'
331,1732519, 'Leonardo Vanzi'
332,1732519, 'F. Mannucci'
333,1732519, 'Giovanni Cresci'
334,1732519, 'F. Ghinassi'
335,1732519, 'Massimo Della Valle'
336,1732520,'D. H. Zhao'
337,1732520, 'H. J. Mo'
338,1732520, 'YP Jing'
339,1732520, 'G. Börner'
340,1732521,'G. S. Da Costa'
341,1732521, 'T. E. Armandroff'
342,1732521, 'Nelson Caldwell'
