ID,PaperID,Reference In RG
544,1732420, '234214392'
545,1732420, '234181112'
546,1732420, '227806303'
547,1732420, '23705656'
548,1732420, '225941018'
549,1732420, '223764406'
550,1732420, '222469418'
551,1732420, '222288170'
552,1732420, '23701011'
553,1732420, '4716499'
554,1732420, '2232715'
555,1732420, '15367987'
556,1732420, '7689612'
557,1732420, '2232030'
558,1732420, '2229288'
559,1732420, '2222052'
560,1732420, '2222677'
561,1732420, '2222166'
562,1732420, '1840143'
563,1732420, '234311248'
564,1732420, '234386998'
565,1732420, '234300082'
566,1732420, '234281505'
567,1732420, '234222422'
568,1732420, '228785066'
569,1732420, '234221746'
570,1732420, '234214392'
571,1732420, '234181112'
572,1732420, '227806303'
573,1732420, '23705656'
574,1732420, '225941018'
575,1732420, '223764406'
576,1732420, '222469418'
577,1732420, '222288170'
578,1732420, '23701011'
579,1732420, '4716499'
580,1732420, '2232715'
581,1732420, '15367987'
582,1732420, '7689612'
583,1732420, '2232030'
584,1732420, '2229288'
585,1732420, '2222052'
586,1732420, '2222677'
587,1732420, '2222166'
588,1732420, '1840143'
589,1732421,'273734151'
590,1732421, '240498725'
591,1732421, '234450331'
592,1732421, '234383015'
593,1732421, '234213919'
594,1732421, '234199316'
595,1732421, '234190810'
596,1732421, '228542661'
597,1732421, '41705970'
598,1732421, '23901290'
599,1732421, '23616362'
600,1732421, '262198923'
601,1732421, '253195630'
602,1732421, '248020761'
603,1732421, '239929133'
604,1732421, '234554537'
605,1732421, '234548789'
606,1732421, '234505692'
607,1732421, '234480078'
608,1732421, '234341876'
609,1732421, '234273376'
610,1732421, '234262781'
611,1732421, '232762825'
612,1732421, '229731094'
613,1732421, '200455699'
614,1732421, '23927971'
615,1732421, '23858604'
616,1732421, '23705092'
617,1732421, '4709568'
618,1732421, '2231662'
619,1732421, '2225849'
620,1732421, '1842314'
621,1732421, '1815507'
622,1732421, '1779179'
623,1732422,'248801240'
624,1732422, '231787855'
625,1732422, '231222338'
626,1732422, '231005546'
627,1732422, '252971253'
628,1732422, '243680179'
629,1732422, '243656730'
630,1732422, '243447561'
631,1732422, '238553001'
632,1732422, '231026029'
633,1732422, '230901538'
634,1732422, '227622702'
635,1732422, '225632528'
636,1732422, '24290015'
637,1732422, '13228246'
638,1732422, '9067156'
639,1732422, '7525933'
640,1732422, '7387652'
641,1732422, '7670679'
642,1732422, '7192280'
643,1732422, '5915671'
644,1732422, '1798560'
645,1732422, '1798559'
646,1732422, '2225437'
647,1732422, '1789249'
648,1732422, '230901538'
649,1732422, '227622702'
650,1732422, '225632528'
651,1732422, '24290015'
652,1732422, '13228246'
653,1732422, '9067156'
654,1732422, '7525933'
655,1732422, '7387652'
656,1732422, '7670679'
657,1732422, '7192280'
658,1732422, '5915671'
659,1732422, '1798560'
660,1732422, '1798559'
661,1732422, '2225437'
662,1732422, '1789249'
663,1732423,'324300801'
664,1732423, '275970953'
665,1732423, '275691665'
666,1732423, '274811704'
667,1732423, '271182467'
668,1732423, '270308169'
669,1732423, '268248325'
670,1732423, '268026343'
671,1732423, '267014627'
672,1732423, '265352564'
673,1732423, '257765647'
674,1732423, '257194383'
675,1732423, '248067571'
676,1732423, '244966934'
677,1732423, '242913488'
678,1732423, '242364509'
679,1732423, '238831925'
680,1732423, '236424098'
681,1732423, '233807015'
682,1732423, '232333890'
683,1732423, '230675502'
684,1732423, '230525017'
685,1732423, '222984684'
686,1732423, '220323584'
687,1732423, '220026736'
688,1732423, '50335513'
689,1732423, '31726091'
690,1732423, '27300332'
691,1732423, '27292615'
692,1732423, '23926080'
693,1732423, '3317590'
694,1732423, '2423691'
695,1732423, '2247979'
696,1732423, '2141183'
697,1732423, '1907808'
698,1732424,'249229447'
699,1732424, '249228378'
700,1732424, '241386172'
701,1732424, '234378623'
702,1732424, '236417780'
703,1732424, '234473193'
704,1732424, '234430562'
705,1732424, '234415403'
706,1732424, '234410630'
707,1732424, '234313020'
708,1732424, '234185573'
709,1732424, '234177391'
710,1732424, '234260070'
711,1732424, '234230466'
712,1732424, '234196435'
713,1732424, '232757802'
714,1732424, '229069753'
715,1732424, '227663073'
716,1732424, '227529169'
717,1732424, '227527443'
718,1732424, '4714857'
719,1732424, '33807048'
720,1732424, '23928332'
721,1732424, '23904102'
722,1732424, '23606690'
723,1732424, '2233760'
724,1732424, '2229785'
725,1732424, '2229002'
726,1732424, '2236822'
727,1732424, '2234336'
728,1732424, '2227050'
729,1732424, '2223160'
730,1732424, '1816805'
731,1732424, '2222864'
